"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2376","assertions","dev","Thu May 22 22:20:44 BST 2025","passed","Thu May 22 22:20:47 BST 2025","","firstTest.spec.ts","",""
"","2217","the 1st test","dev","Thu May 22 22:20:46 BST 2025","passed","Thu May 22 22:20:48 BST 2025","test suite 1","testOrganization.spec.ts","",""
"","3765","datepicker2","dev","Thu May 22 22:20:56 BST 2025","passed","Thu May 22 22:20:59 BST 2025","datepickers","uiComponents.spec.ts","",""
"","2148","the 3rd test","dev","Thu May 22 22:20:48 BST 2025","passed","Thu May 22 22:20:50 BST 2025","test suite 2","testOrganization.spec.ts","",""
"","5132","D&D","dev","Thu May 22 22:20:38 BST 2025","passed","Thu May 22 22:20:43 BST 2025","","dragAndDropWithiFrame.spec.ts","",""
"","3261","sliders","dev","Thu May 22 22:20:57 BST 2025","passed","Thu May 22 22:21:00 BST 2025","","uiComponents.spec.ts","",""
"","3625","datepicker1","dev","Thu May 22 22:20:55 BST 2025","passed","Thu May 22 22:20:59 BST 2025","datepickers","uiComponents.spec.ts","",""
"","2470","parametrized methods2","dev","Thu May 22 22:20:49 BST 2025","passed","Thu May 22 22:20:51 BST 2025","","testWithFixtures.spec.ts","",""
"","2371","radiobuttons","dev","Thu May 22 22:20:50 BST 2025","passed","Thu May 22 22:20:52 BST 2025","Form Layout page","uiComponents.spec.ts","",""
"","3504","user facing locators","dev","Thu May 22 22:20:38 BST 2025","passed","Thu May 22 22:20:41 BST 2025","","firstTest.spec.ts","",""
"","17587","auto waiting","dev","Thu May 22 22:20:38 BST 2025","passed","Thu May 22 22:20:55 BST 2025","","autowaiting.spec.ts","",""
"","4598","table2","dev","Thu May 22 22:20:55 BST 2025","passed","Thu May 22 22:20:59 BST 2025","tables","uiComponents.spec.ts","",""
"","5228","parametrized methods","dev","Thu May 22 22:21:00 BST 2025","passed","Thu May 22 22:21:05 BST 2025","","usePageObjects.spec.ts","",""
"","2480","locating child element","dev","Thu May 22 22:20:41 BST 2025","passed","Thu May 22 22:20:44 BST 2025","","firstTest.spec.ts","",""
"","2652","tooltips","dev","Thu May 22 22:20:52 BST 2025","passed","Thu May 22 22:20:55 BST 2025","","uiComponents.spec.ts","",""
"","4477","table1","dev","Thu May 22 22:20:55 BST 2025","passed","Thu May 22 22:20:59 BST 2025","tables","uiComponents.spec.ts","",""
"","2849","locator syntax rules","dev","Thu May 22 22:20:38 BST 2025","passed","Thu May 22 22:20:41 BST 2025","","firstTest.spec.ts","",""
"","2285","the 2nd test","dev","Thu May 22 22:20:47 BST 2025","passed","Thu May 22 22:20:49 BST 2025","test suite 1","testOrganization.spec.ts","",""
"","16631","alternative waits","dev","Thu May 22 22:20:38 BST 2025","passed","Thu May 22 22:20:54 BST 2025","","autowaiting.spec.ts","",""
"","2180","input fields","dev","Thu May 22 22:20:46 BST 2025","passed","Thu May 22 22:20:48 BST 2025","","testMobile.spec.ts","",""
"","5972","table3","dev","Thu May 22 22:20:55 BST 2025","passed","Thu May 22 22:21:01 BST 2025","tables","uiComponents.spec.ts","",""
"","16796","timeout","dev","Thu May 22 22:20:38 BST 2025","passed","Thu May 22 22:20:55 BST 2025","","autowaiting.spec.ts","",""
"","2696","checkboxes","dev","Thu May 22 22:20:51 BST 2025","passed","Thu May 22 22:20:54 BST 2025","","uiComponents.spec.ts","",""
"","2329","input fields","dev","Thu May 22 22:20:49 BST 2025","passed","Thu May 22 22:20:51 BST 2025","Form Layout page","uiComponents.spec.ts","",""
"","3083","dialog boxes","dev","Thu May 22 22:20:54 BST 2025","passed","Thu May 22 22:20:57 BST 2025","","uiComponents.spec.ts","",""
"","2394","reusing the locators","dev","Thu May 22 22:20:43 BST 2025","passed","Thu May 22 22:20:46 BST 2025","","firstTest.spec.ts","",""
"","2601","using parent elememt","dev","Thu May 22 22:20:42 BST 2025","passed","Thu May 22 22:20:44 BST 2025","","firstTest.spec.ts","",""
"","2329","extracring values","dev","Thu May 22 22:20:44 BST 2025","passed","Thu May 22 22:20:46 BST 2025","","firstTest.spec.ts","",""
"","3752","list and dropdowns","dev","Thu May 22 22:20:51 BST 2025","passed","Thu May 22 22:20:55 BST 2025","","uiComponents.spec.ts","",""
"","4966","navigate to form page","dev","Thu May 22 22:20:59 BST 2025","passed","Thu May 22 22:21:04 BST 2025","","usePageObjects.spec.ts","",""
